14,470,174
13,423,174
15,421,203
2241,430,207
2243,421,220
2231,397,174
2234,365,174
12,333,174
2232,302,174
2228,275,174
2221,250,174
2226,220,174
2224,180,174
2222,150,174
11,132,174
2216,132,205
2214,132,235
2219,132,270
2212,132,305
10,132,342
2208,122,338
2211,142,345
2209,132,375
2206,132,404
2204,127,438
2202,127,474
9,127,534
7,135,585
6,178,585
2019,220,581
2013,278,581
2,350,581
1,410,581
2011,410,525
0,457,520
8,180,635
2026,180,695
2028,180,737
2039,180,770
16,182,807
2018,192,815
2032,172,808
2032-1,178,839
2038,192,848
17,217,845
2016,262,838
2042,246,851
2044,274,851
18,311,845
2014,346,840
19,363,840
2048,355,852
2052,385,845
5,415,621
2006,415,665
2008,415,713
3,415,763
2002,380,735
2004,380,761
2012,415,805
4,415,840
2054,443,840
2056,473,835
2058,504,835
2051,530,835
20,562,835
2062,592,835
2064,613,835
21,634,835
2059,634,815
2061,660,835
2066,686,835
2068,709,835
22,750,835
2072,783,835
23,805,837
2065,805,825
2074,805,848
24,825,840
2071,840,840
25,860,840
2076,882,840
26,904,840
2082,935,820
27,935,800
2081,935,780
2084,935,763
2086,935,746
28,935,724
2089,935,703
29,930,680
2088,945,678
30,897,684
2099,870,684
2091,880,668
31,936,642
31,948,642
